aoa	knots	lift
19.9 	 74.799 	 100.235
20.0 	 75.299 	 101.220
20.1 	 75.799 	 102.029
20.2 	 76.199 	 100.097
20.3 	 76.699 	 100.723
20.4 	 77.199 	 101.333
20.5 	 77.699 	 101.990
20.6 	 78.099 	 100.208
20.7 	 78.599 	 101.173
20.8 	 79.099 	 102.395
20.9 	 79.499 	 101.441
21.0 	 79.899 	 100.932
21.1 	 80.299 	 100.879
21.2 	 80.699 	 101.201
21.3 	 81.099 	 101.988
21.4 	 81.399 	 100.891
21.5 	 81.699 	 100.482
21.6 	 81.999 	 100.870
21.7 	 82.299 	 102.164
21.8 	 82.499 	 102.056
21.9 	 82.599 	 100.521
22.0 	 82.799 	 101.360
22.1 	 82.999 	 101.960
22.2 	 83.199 	 102.352
22.3 	 83.299 	 100.170
22.4 	 83.499 	 100.245
22.5 	 83.699 	 100.207
22.6 	 83.899 	 100.091
22.7 	 84.199 	 102.307
22.8 	 84.399 	 102.139
22.9 	 84.599 	 102.004
23.0 	 84.799 	 101.940
23.1 	 84.999 	 101.990
23.2 	 85.199 	 102.194
23.3 	 85.299 	 100.254
23.4 	 85.499 	 100.901
23.5 	 85.699 	 101.835
23.6 	 85.799 	 100.774
23.7 	 85.899 	 100.101
23.8 	 86.099 	 102.185
23.9 	 86.099 	 100.107
24.0 	 86.199 	 100.882
24.1 	 86.299 	 102.177
24.2 	 86.299 	 101.279
24.3 	 86.299 	 100.435
24.4 	 86.399 	 101.970
24.5 	 86.399 	 101.262
24.6 	 86.399 	 100.637
24.7 	 86.399 	 100.106
24.8 	 86.499 	 101.990
24.9 	 86.499 	 101.674
