aoa	knots	lift
19.5 	 70.699 	 101.396
19.6 	 70.799 	 102.302
19.7 	 70.799 	 101.263
19.8 	 70.799 	 100.187
19.9 	 70.899 	 101.580
20.0 	 70.999 	 102.655
20.1 	 70.999 	 100.632
20.2 	 71.099 	 101.140
20.3 	 71.199 	 101.400
20.4 	 71.299 	 101.435
20.5 	 71.399 	 101.271
20.6 	 71.499 	 100.932
20.7 	 71.599 	 100.445
20.8 	 71.799 	 102.610
20.9 	 71.899 	 101.903
21.0 	 71.999 	 101.129
21.1 	 72.099 	 100.320
21.2 	 72.299 	 102.259
21.3 	 72.399 	 101.462
21.4 	 72.499 	 100.721
21.5 	 72.599 	 100.068
21.6 	 72.799 	 102.273
21.7 	 72.899 	 101.893
21.8 	 72.999 	 101.704
21.9 	 73.099 	 101.741
22.0 	 73.199 	 102.041
22.1 	 73.299 	 102.642
22.2 	 73.299 	 100.863
22.3 	 73.399 	 102.179
22.4 	 73.399 	 101.196
22.5 	 73.399 	 100.669
22.6 	 73.399 	 100.633
22.7 	 73.399 	 100.830
22.8 	 73.399 	 101.089
22.9 	 73.399 	 101.420
23.0 	 73.399 	 101.831
23.1 	 73.399 	 102.328
23.2 	 73.299 	 100.204
23.3 	 73.299 	 100.899
23.4 	 73.299 	 101.705
23.5 	 73.299 	 102.631
23.6 	 73.199 	 100.958
23.7 	 73.199 	 102.141
23.8 	 73.099 	 100.738
23.9 	 73.099 	 102.207
24.0 	 72.999 	 101.100
24.1 	 72.899 	 100.150
24.2 	 72.899 	 102.099
24.3 	 72.799 	 101.483
24.4 	 72.699 	 101.043
24.5 	 72.599 	 100.782
24.6 	 72.499 	 100.706
24.7 	 72.399 	 100.685
24.8 	 72.299 	 100.641
24.9 	 72.199 	 100.573
