knots	drag
36.500	0.035
36.600	0.035
36.700	0.035
36.800	0.036
36.900	0.036
37.000	0.036
37.100	0.037
37.200	0.037
37.300	0.037
37.400	0.038
37.500	0.038
37.600	0.039
37.700	0.039
37.800	0.039
37.900	0.040
38.000	0.040
38.100	0.040
38.200	0.041
38.300	0.041
38.400	0.041
38.500	0.042
38.600	0.042
38.700	0.042
38.800	0.043
38.900	0.043
39.000	0.043
39.100	0.044
39.200	0.044
39.300	0.045
39.400	0.045
39.500	0.045
39.600	0.046
39.700	0.046
39.800	0.046
39.900	0.047
40.000	0.047
40.100	0.047
40.200	0.048
40.300	0.048
40.400	0.048
40.500	0.049
40.600	0.049
40.700	0.050
40.800	0.050
40.900	0.050
41.000	0.051
41.100	0.051
41.200	0.051
41.300	0.052
41.400	0.052
41.500	0.052
41.600	0.053
41.700	0.053
41.800	0.053
41.900	0.054
42.000	0.054
42.100	0.054
42.200	0.055
42.300	0.055
42.400	0.056
42.500	0.056
42.600	0.056
42.700	0.057
42.800	0.057
42.900	0.057
43.000	0.058
43.100	0.058
43.200	0.058
43.300	0.059
43.400	0.059
43.500	0.059
43.600	0.060
43.700	0.060
43.800	0.061
43.900	0.061
44.000	0.061
44.100	0.062
44.200	0.062
44.300	0.062
44.400	0.063
44.500	0.063
44.600	0.063
44.700	0.064
44.800	0.064
44.900	0.064
45.000	0.065
45.100	0.065
45.200	0.065
45.300	0.066
45.400	0.066
45.500	0.067
45.600	0.067
45.700	0.067
45.800	0.068
45.900	0.068
46.000	0.068
46.100	0.069
46.200	0.069
46.300	0.069
46.400	0.070
46.500	0.070
46.600	0.070
46.700	0.071
46.800	0.071
46.900	0.072
47.000	0.072
47.100	0.072
47.200	0.073
47.300	0.073
47.400	0.073
47.500	0.074
47.600	0.074
47.700	0.074
47.800	0.075
47.900	0.075
48.000	0.076
48.100	0.076
48.200	0.076
48.300	0.077
48.400	0.077
48.500	0.077
48.600	0.078
48.700	0.078
48.800	0.078
48.900	0.079
49.000	0.079
49.100	0.079
49.200	0.080
49.300	0.080
49.400	0.081
49.500	0.081
49.600	0.081
49.700	0.082
49.800	0.082
49.900	0.082
50.000	0.083
50.100	0.083
50.200	0.083
50.300	0.084
50.400	0.084
50.500	0.085
50.600	0.085
50.700	0.085
50.800	0.086
50.900	0.086
51.000	0.086
51.100	0.087
51.200	0.087
51.300	0.088
51.400	0.088
51.500	0.088
51.600	0.089
51.700	0.089
51.800	0.089
51.900	0.090
52.000	0.090
52.100	0.091
52.200	0.091
52.300	0.091
52.400	0.092
52.500	0.092
52.600	0.092
52.700	0.093
52.800	0.093
52.900	0.094
53.000	0.094
53.100	0.094
53.200	0.095
53.300	0.095
53.400	0.095
53.500	0.096
53.600	0.096
53.700	0.097
53.800	0.097
53.900	0.097
54.000	0.098
54.100	0.098
54.200	0.098
54.300	0.099
54.400	0.099
54.500	0.100
54.600	0.100
54.700	0.100
54.800	0.101
54.900	0.101
55.000	0.101
55.100	0.102
55.200	0.102
55.300	0.103
55.400	0.103
55.500	0.103
55.600	0.104
55.700	0.104
55.800	0.105
55.900	0.105
56.000	0.105
56.100	0.106
56.200	0.106
56.300	0.106
56.400	0.107
56.500	0.107
56.600	0.108
56.700	0.108
56.800	0.108
56.900	0.109
57.000	0.109
57.100	0.110
57.200	0.110
57.300	0.110
57.400	0.111
57.500	0.111
57.600	0.112
57.700	0.112
57.800	0.112
57.900	0.113
58.000	0.113
58.100	0.114
58.200	0.114
58.300	0.114
58.400	0.115
58.500	0.115
58.600	0.116
58.700	0.116
58.800	0.116
58.900	0.117
59.000	0.117
59.100	0.118
59.200	0.118
59.300	0.118
59.400	0.119
59.500	0.119
59.600	0.120
59.700	0.120
59.800	0.120
59.900	0.121
60.000	0.121
60.100	0.122
60.200	0.122
60.300	0.122
60.400	0.123
60.500	0.123
60.600	0.124
60.700	0.124
60.800	0.124
60.900	0.125
61.000	0.125
61.100	0.126
61.200	0.126
61.300	0.126
61.400	0.127
61.500	0.127
61.600	0.128
61.700	0.128
61.800	0.129
61.900	0.129
62.000	0.129
62.100	0.130
62.200	0.130
62.300	0.131
62.400	0.131
62.500	0.131
62.600	0.132
62.700	0.132
62.800	0.133
62.900	0.133
63.000	0.134
63.100	0.134
63.200	0.134
63.300	0.135
63.400	0.135
63.500	0.136
63.600	0.136
63.700	0.137
63.800	0.137
63.900	0.137
64.000	0.138
64.100	0.138
64.200	0.139
64.300	0.139
64.400	0.139
64.500	0.140
64.600	0.140
64.700	0.141
64.800	0.141
64.900	0.142
65.000	0.142
65.100	0.142
65.200	0.143
65.300	0.143
65.400	0.144
65.500	0.144
65.600	0.145
65.700	0.145
65.800	0.146
65.900	0.146
66.000	0.146
66.100	0.147
66.200	0.147
66.300	0.148
66.400	0.148
66.500	0.149
66.600	0.149
66.700	0.149
66.800	0.150
66.900	0.150
67.000	0.151
67.100	0.151
67.200	0.152
67.300	0.152
67.400	0.153
67.500	0.153
67.600	0.153
67.700	0.154
67.800	0.154
67.900	0.155
68.000	0.155
68.100	0.156
68.200	0.156
68.300	0.157
68.400	0.157
68.500	0.157
68.600	0.158
68.700	0.158
68.800	0.159
68.900	0.159
69.000	0.160
69.100	0.160
69.200	0.161
69.300	0.161
69.400	0.161
69.500	0.162
69.600	0.162
69.700	0.163
69.800	0.163
69.900	0.164
70.000	0.164
70.100	0.165
70.200	0.165
