aoa	lift	drag	lvsd
14.1	4.098	0.572	7.163
14.2	4.082	0.572	7.138
14.3	4.064	0.571	7.112
14.4	4.044	0.571	7.086
14.5	4.023	0.570	7.060
14.6	3.999	0.569	7.034
14.7	3.974	0.567	7.008
14.8	3.948	0.565	6.982
14.9	3.919	0.563	6.956
15.0	3.890	0.561	6.930
15.1	3.858	0.559	6.904
15.2	3.825	0.556	6.877
15.3	3.791	0.553	6.851
15.4	3.756	0.550	6.825
15.5	3.720	0.547	6.799
15.6	3.682	0.544	6.772
15.7	3.643	0.540	6.746
15.8	3.604	0.536	6.720
15.9	3.563	0.532	6.694
16.0	3.522	0.528	6.668
16.1	3.480	0.524	6.642
16.2	3.437	0.520	6.616
16.3	3.394	0.515	6.590
16.4	3.350	0.510	6.564
16.5	3.306	0.506	6.538
16.6	3.262	0.501	6.513
16.7	3.218	0.496	6.488
16.8	3.173	0.491	6.462
16.9	3.129	0.486	6.437
17.0	3.084	0.481	6.413
17.1	3.040	0.476	6.388
17.2	2.996	0.471	6.364
17.3	2.953	0.466	6.340
17.4	2.910	0.461	6.316
17.5	2.868	0.456	6.293
17.6	2.827	0.451	6.270
17.7	2.786	0.446	6.248
17.8	2.747	0.441	6.225
17.9	2.709	0.437	6.204
18.0	2.672	0.432	6.183
18.1	2.636	0.428	6.162
18.2	2.602	0.424	6.142
18.3	2.570	0.420	6.122
18.4	2.538	0.416	6.104
18.5	2.508	0.412	6.086
18.6	2.479	0.408	6.069
18.7	2.451	0.405	6.052
18.8	2.425	0.402	6.037
18.9	2.400	0.399	6.023
19.0	2.377	0.396	6.009
19.1	2.357	0.393	5.996
19.2	2.339	0.391	5.985
19.3	2.323	0.389	5.974
19.4	2.310	0.387	5.965
19.5	2.300	0.386	5.956
19.6	2.293	0.386	5.949
19.7	2.290	0.385	5.942
19.8	2.288	0.385	5.936
19.9	2.286	0.386	5.929
20.0	2.284	0.386	5.923
20.1	2.282	0.386	5.916
20.2	2.281	0.386	5.910
20.3	2.280	0.386	5.904
20.4	2.279	0.386	5.897
20.5	2.278	0.387	5.891
20.6	2.278	0.387	5.884
20.7	2.278	0.388	5.877
20.8	2.279	0.388	5.871
20.9	2.280	0.389	5.864
21.0	2.282	0.390	5.857
21.1	2.284	0.391	5.849
21.2	2.287	0.391	5.842
21.3	2.290	0.392	5.835
21.4	2.293	0.394	5.827
21.5	2.297	0.395	5.819
21.6	2.301	0.396	5.812
21.7	2.306	0.397	5.804
21.8	2.311	0.399	5.796
21.9	2.317	0.400	5.787
22.0	2.324	0.402	5.779
22.1	2.331	0.404	5.770
22.2	2.339	0.406	5.761
22.3	2.348	0.408	5.751
22.4	2.358	0.411	5.741
22.5	2.368	0.413	5.731
22.6	2.380	0.416	5.720
22.7	2.392	0.419	5.709
22.8	2.404	0.422	5.699
22.9	2.416	0.425	5.688
23.0	2.428	0.428	5.677
23.1	2.440	0.431	5.666
23.2	2.451	0.433	5.655
23.3	2.462	0.436	5.644
23.4	2.473	0.439	5.633
23.5	2.484	0.442	5.623
23.6	2.494	0.444	5.612
23.7	2.504	0.447	5.601
23.8	2.514	0.450	5.590
23.9	2.524	0.452	5.580
24.0	2.533	0.455	5.569
24.1	2.542	0.457	5.559
24.2	2.551	0.460	5.548
24.3	2.559	0.462	5.538
24.4	2.567	0.464	5.528
24.5	2.575	0.467	5.518
24.6	2.582	0.469	5.508
24.7	2.589	0.471	5.498
24.8	2.596	0.473	5.488
24.9	2.603	0.475	5.478
