aoa	knots	lift
19.6 	 71.799 	 100.279
19.7 	 71.899 	 101.095
19.8 	 71.899 	 100.200
19.9 	 71.899 	 100.421
20.0 	 71.899 	 101.813
20.1 	 71.799 	 101.651
20.2 	 71.699 	 102.240
20.3 	 71.499 	 100.026
20.4 	 71.399 	 100.440
20.5 	 71.299 	 100.543
20.6 	 71.199 	 100.347
20.7 	 71.199 	 102.664
20.8 	 71.099 	 101.904
20.9 	 70.999 	 100.878
21.0 	 70.999 	 102.409
21.1 	 70.899 	 100.889
21.2 	 70.899 	 101.952
21.3 	 70.899 	 102.800
21.4 	 70.799 	 100.627
21.5 	 70.799 	 101.079
21.6 	 70.799 	 101.352
21.7 	 70.799 	 101.459
21.8 	 70.799 	 101.336
21.9 	 70.799 	 100.876
22.0 	 70.799 	 100.097
22.1 	 70.899 	 101.838
22.2 	 70.899 	 100.488
22.3 	 70.999 	 101.699
22.4 	 71.099 	 102.678
22.5 	 71.099 	 100.639
22.6 	 71.199 	 101.223
22.7 	 71.299 	 101.646
22.8 	 71.399 	 101.928
22.9 	 71.499 	 102.097
23.0 	 71.599 	 102.177
23.1 	 71.699 	 102.195
23.2 	 71.799 	 102.176
23.3 	 71.899 	 102.149
23.4 	 71.999 	 102.140
23.5 	 72.099 	 102.180
23.6 	 72.199 	 102.296
23.7 	 72.299 	 102.520
23.8 	 72.299 	 100.119
23.9 	 72.399 	 100.652
24.0 	 72.499 	 101.385
24.1 	 72.599 	 102.353
24.2 	 72.599 	 100.834
24.3 	 72.699 	 102.369
24.4 	 72.699 	 101.487
24.5 	 72.699 	 100.976
24.6 	 72.699 	 100.781
24.7 	 72.699 	 100.625
24.8 	 72.699 	 100.489
24.9 	 72.699 	 100.380
