aoa	knots	lift
18.8 	 65.700 	 102.637
18.9 	 65.800 	 102.458
19.0 	 65.900 	 102.455
19.1 	 66.000 	 102.653
19.2 	 66.000 	 100.069
19.3 	 66.100 	 100.757
19.4 	 66.200 	 101.732
19.5 	 66.200 	 100.017
19.6 	 66.300 	 101.652
19.7 	 66.300 	 100.659
19.8 	 66.300 	 100.071
19.9 	 66.400 	 102.918
20.0 	 66.300 	 100.226
20.1 	 66.300 	 101.025
20.2 	 66.300 	 102.303
20.3 	 66.200 	 100.740
20.4 	 66.200 	 102.282
20.5 	 66.100 	 100.917
20.6 	 66.100 	 102.673
20.7 	 66.000 	 101.525
20.8 	 65.900 	 100.492
20.9 	 65.900 	 102.602
21.0 	 65.800 	 101.814
21.1 	 65.700 	 101.152
21.2 	 65.600 	 100.623
21.3 	 65.500 	 100.228
21.4 	 65.500 	 103.017
21.5 	 65.400 	 102.908
21.6 	 65.300 	 102.946
21.7 	 65.100 	 100.072
21.8 	 65.000 	 100.305
21.9 	 64.900 	 100.509
22.0 	 64.800 	 100.687
22.1 	 64.700 	 100.836
22.2 	 64.600 	 100.957
22.3 	 64.500 	 101.052
22.4 	 64.400 	 101.119
22.5 	 64.300 	 101.159
22.6 	 64.200 	 101.172
22.7 	 64.100 	 101.158
22.8 	 64.000 	 101.117
22.9 	 63.900 	 101.049
23.0 	 63.800 	 100.955
23.1 	 63.700 	 100.835
23.2 	 63.600 	 100.688
23.3 	 63.500 	 100.515
23.4 	 63.400 	 100.316
23.5 	 63.300 	 100.091
23.6 	 63.300 	 102.995
23.7 	 63.200 	 102.723
23.8 	 63.100 	 102.425
23.9 	 63.000 	 102.101
24.0 	 62.900 	 101.752
24.1 	 62.800 	 101.379
24.2 	 62.700 	 100.979
24.3 	 62.600 	 100.554
24.4 	 62.500 	 100.105
24.5 	 62.500 	 102.829
24.6 	 62.400 	 102.334
24.7 	 62.300 	 101.814
24.8 	 62.200 	 101.270
24.9 	 62.100 	 100.702
