aoa	lift	drag	lvsd
14.1	4.552	0.624	7.301
14.2	4.534	0.623	7.273
14.3	4.513	0.623	7.244
14.4	4.490	0.622	7.216
14.5	4.465	0.621	7.187
14.6	4.438	0.620	7.159
14.7	4.409	0.618	7.130
14.8	4.378	0.616	7.101
14.9	4.345	0.614	7.073
15.0	4.310	0.612	7.044
15.1	4.274	0.609	7.015
15.2	4.236	0.606	6.987
15.3	4.196	0.603	6.958
15.4	4.156	0.600	6.929
15.5	4.113	0.596	6.901
15.6	4.070	0.592	6.872
15.7	4.025	0.588	6.843
15.8	3.979	0.584	6.815
15.9	3.932	0.579	6.786
16.0	3.884	0.575	6.758
16.1	3.836	0.570	6.730
16.2	3.786	0.565	6.701
16.3	3.737	0.560	6.673
16.4	3.686	0.555	6.645
16.5	3.635	0.549	6.617
16.6	3.584	0.544	6.590
16.7	3.533	0.538	6.562
16.8	3.481	0.533	6.534
16.9	3.430	0.527	6.507
17.0	3.378	0.521	6.480
17.1	3.327	0.516	6.453
17.2	3.277	0.510	6.426
17.3	3.227	0.504	6.400
17.4	3.177	0.499	6.373
17.5	3.129	0.493	6.348
17.6	3.081	0.487	6.322
17.7	3.034	0.482	6.297
17.8	2.989	0.476	6.272
17.9	2.944	0.471	6.248
18.0	2.902	0.466	6.224
18.1	2.860	0.461	6.200
18.2	2.821	0.457	6.178
18.3	2.783	0.452	6.155
18.4	2.747	0.448	6.134
18.5	2.711	0.443	6.115
18.6	2.677	0.439	6.096
18.7	2.645	0.435	6.079
18.8	2.614	0.431	6.064
18.9	2.586	0.427	6.050
19.0	2.560	0.424	6.037
19.1	2.536	0.421	6.026
19.2	2.514	0.418	6.016
19.3	2.496	0.415	6.008
19.4	2.481	0.413	6.001
19.5	2.469	0.412	5.994
19.6	2.462	0.411	5.989
19.7	2.459	0.411	5.985
19.8	2.457	0.411	5.981
19.9	2.456	0.411	5.977
20.0	2.454	0.411	5.973
20.1	2.453	0.411	5.968
20.2	2.453	0.411	5.964
20.3	2.453	0.412	5.959
20.4	2.453	0.412	5.955
20.5	2.454	0.412	5.950
20.6	2.456	0.413	5.944
20.7	2.458	0.414	5.939
20.8	2.460	0.415	5.933
20.9	2.463	0.416	5.927
21.0	2.467	0.417	5.920
21.1	2.472	0.418	5.913
21.2	2.477	0.419	5.905
21.3	2.482	0.421	5.897
21.4	2.488	0.423	5.889
21.5	2.495	0.424	5.880
21.6	2.502	0.426	5.871
21.7	2.510	0.428	5.861
21.8	2.518	0.430	5.850
21.9	2.527	0.433	5.839
22.0	2.537	0.435	5.827
22.1	2.547	0.438	5.814
22.2	2.559	0.441	5.801
