aoa	lift	drag	lvsd
14.2	5.688	0.787	7.230
14.3	5.682	0.788	7.211
14.4	5.674	0.789	7.193
14.5	5.664	0.789	7.175
14.6	5.651	0.790	7.157
14.7	5.636	0.789	7.139
14.8	5.618	0.789	7.122
14.9	5.598	0.788	7.106
15.0	5.577	0.787	7.089
15.1	5.553	0.785	7.073
15.2	5.527	0.783	7.057
15.3	5.499	0.781	7.042
15.4	5.469	0.778	7.026
15.5	5.437	0.775	7.012
15.6	5.404	0.772	6.997
15.7	5.369	0.769	6.983
15.8	5.333	0.765	6.970
15.9	5.293	0.761	6.956
16.0	5.251	0.756	6.942
16.1	5.205	0.751	6.928
16.2	5.156	0.746	6.914
16.3	5.105	0.740	6.900
16.4	5.051	0.734	6.886
16.5	4.994	0.727	6.871
16.6	4.935	0.720	6.857
16.7	4.874	0.712	6.843
16.8	4.812	0.705	6.829
16.9	4.748	0.697	6.815
17.0	4.682	0.688	6.802
17.1	4.614	0.680	6.788
17.2	4.546	0.671	6.775
17.3	4.477	0.662	6.761
17.4	4.406	0.653	6.748
17.5	4.335	0.644	6.736
17.6	4.264	0.634	6.723
17.7	4.192	0.625	6.711
17.8	4.119	0.615	6.698
17.9	4.047	0.605	6.687
18.0	3.975	0.596	6.675
18.1	3.903	0.586	6.664
18.2	3.832	0.576	6.653
18.3	3.762	0.566	6.642
18.4	3.693	0.557	6.631
18.5	3.624	0.547	6.621
18.6	3.558	0.538	6.611
18.7	3.493	0.529	6.601
18.8	3.429	0.520	6.592
18.9	3.368	0.512	6.582
19.0	3.309	0.503	6.573
19.1	3.253	0.496	6.564
19.2	3.200	0.488	6.555
19.3	3.149	0.481	6.546
19.4	3.102	0.475	6.537
19.5	3.059	0.469	6.528
19.6	3.019	0.463	6.519
19.7	2.984	0.458	6.509
19.8	2.952	0.454	6.499
19.9	2.926	0.451	6.489
20.0	2.904	0.448	6.478
20.1	2.888	0.447	6.466
20.2	2.876	0.446	6.454
20.3	2.867	0.445	6.441
20.4	2.859	0.445	6.429
20.5	2.853	0.445	6.417
20.6	2.849	0.445	6.404
20.7	2.848	0.446	6.392
20.8	2.849	0.447	6.379
20.9	2.853	0.448	6.366
21.0	2.860	0.450	6.353
21.1	2.869	0.453	6.340
21.2	2.881	0.455	6.327
21.3	2.892	0.458	6.313
21.4	2.904	0.461	6.298
21.5	2.917	0.464	6.282
21.6	2.930	0.468	6.266
21.7	2.942	0.471	6.250
21.8	2.954	0.474	6.233
21.9	2.967	0.477	6.217
22.0	2.978	0.480	6.201
22.1	2.990	0.483	6.184
22.2	3.001	0.487	6.168
22.3	3.013	0.490	6.152
22.4	3.023	0.493	6.135
22.5	3.034	0.496	6.119
22.6	3.044	0.499	6.103
22.7	3.054	0.502	6.086
22.8	3.064	0.505	6.070
22.9	3.073	0.508	6.053
23.0	3.083	0.511	6.037
23.1	3.092	0.514	6.021
23.2	3.101	0.516	6.005
23.3	3.110	0.519	5.988
23.4	3.120	0.522	5.972
23.5	3.129	0.525	5.956
23.6	3.138	0.528	5.940
23.7	3.147	0.531	5.924
23.8	3.156	0.534	5.908
23.9	3.165	0.537	5.892
24.0	3.174	0.540	5.876
24.1	3.183	0.543	5.860
24.2	3.192	0.546	5.844
24.3	3.200	0.549	5.828
24.4	3.209	0.552	5.812
24.5	3.218	0.555	5.796
24.6	3.227	0.558	5.781
24.7	3.235	0.561	5.765
24.8	3.244	0.564	5.749
24.9	3.253	0.567	5.734
