aoa	knots	lift
18.8 	 63.000 	 102.834
18.9 	 63.500 	 100.810
19.0 	 64.100 	 101.923
19.1 	 64.600 	 100.067
19.2 	 65.200 	 101.481
19.3 	 65.700 	 100.180
19.4 	 66.300 	 102.312
19.5 	 66.800 	 102.006
19.6 	 67.300 	 102.393
19.7 	 67.700 	 100.682
19.8 	 68.200 	 102.865
19.9 	 68.500 	 100.374
20.0 	 68.900 	 102.052
20.1 	 69.200 	 102.285
20.2 	 69.400 	 100.911
20.3 	 69.600 	 100.014
20.4 	 69.900 	 102.433
20.5 	 70.100 	 102.562
20.6 	 70.200 	 100.480
20.7 	 70.399 	 101.886
20.8 	 70.499 	 101.214
20.9 	 70.599 	 101.338
21.0 	 70.699 	 102.318
21.1 	 70.699 	 101.416
21.2 	 70.699 	 101.093
21.3 	 70.699 	 100.906
21.4 	 70.699 	 100.862
21.5 	 70.699 	 100.969
21.6 	 70.699 	 101.236
21.7 	 70.699 	 101.671
21.8 	 70.699 	 102.282
21.9 	 70.599 	 100.275
22.0 	 70.599 	 101.257
22.1 	 70.599 	 102.437
22.2 	 70.499 	 101.018
22.3 	 70.499 	 102.613
22.4 	 70.399 	 101.617
22.5 	 70.299 	 100.840
22.6 	 70.200 	 100.290
22.7 	 70.200 	 102.790
22.8 	 70.100 	 102.709
22.9 	 69.900 	 100.020
23.0 	 69.800 	 100.179
23.1 	 69.700 	 100.312
23.2 	 69.600 	 100.421
23.3 	 69.500 	 100.505
23.4 	 69.400 	 100.565
23.5 	 69.300 	 100.600
23.6 	 69.200 	 100.611
23.7 	 69.100 	 100.598
23.8 	 69.000 	 100.562
23.9 	 68.900 	 100.500
24.0 	 68.800 	 100.416
24.1 	 68.700 	 100.307
24.2 	 68.600 	 100.175
24.3 	 68.500 	 100.019
24.4 	 68.500 	 102.731
24.5 	 68.400 	 102.532
24.6 	 68.300 	 102.310
24.7 	 68.200 	 102.065
24.8 	 68.100 	 101.797
24.9 	 68.000 	 101.505
