aoa	knots	lift
19.00 	 67.90 	 101.06
19.10 	 68.50 	 101.23
19.20 	 69.10 	 101.61
19.30 	 69.70 	 102.30
19.40 	 70.20 	 100.59
19.50 	 70.80 	 102.26
19.60 	 71.30 	 101.82
19.70 	 71.80 	 102.21
19.80 	 72.20 	 100.83
19.90 	 72.60 	 100.59
