aoa	knots	lift
1	236	105.655418
2	169	112.158905
3	138	104.471992
4	120	108.479782
5	108	118.134377
6	99	111.262741
7	94	101.427673
8	88	106.275055
9	83	101.497696
10	81	107.719383
11	81	102.284477
12	84	112.632324
13	89	103.611458
14	98	107.540787
15	111	100.046501
16	130	114.064003
17	147	107.373795
18	148	101.505806
19	146	111.009598
20	143	102.420090
