aoa	knots	lift
0	107	106.727074
1	90	103.538452
2	80	123.968567
3	72	114.060448
4	66	106.277870
5	62	124.939453
6	58	113.949875
7	55	116.827461
8	52	100.420723
9	50	110.275337
10	48	107.839272
11	47	141.517273
12	45	118.772423
13	44	118.416702
14	47	128.436737
15	46	124.201981
16	57	112.911652
17	63	129.561279
18	61	103.750671
19	60	109.564331
20	59	112.043907
