aoa	knots	lift
0	137	104.645859
1	114	112.719704
2	99	100.618980
3	90	123.893822
4	82	110.158073
5	76	104.530396
6	72	125.033592
7	68	121.835747
8	65	131.647354
9	62	125.550987
10	59	105.143944
11	57	109.982773
12	55	105.412148
13	54	133.092026
14	52	112.778091
15	51	128.220123
16	50	138.739151
17	49	142.105347
18	67	124.328957
19	69	111.916924
20	68	121.555031
