aoa	lift	drag	lvsd
14.3	3.219	0.706	4.563
14.4	3.144	0.693	4.540
14.5	3.070	0.680	4.517
14.6	2.996	0.667	4.494
14.7	2.922	0.654	4.470
14.8	2.850	0.641	4.446
14.9	2.778	0.628	4.422
15.0	2.708	0.616	4.398
15.1	2.638	0.603	4.373
15.2	2.571	0.591	4.348
15.3	2.504	0.579	4.324
15.4	2.439	0.568	4.299
15.5	2.377	0.556	4.274
15.6	2.316	0.545	4.249
15.7	2.257	0.534	4.224
15.8	2.201	0.524	4.199
15.9	2.147	0.514	4.174
16.0	2.096	0.505	4.150
16.1	2.047	0.496	4.127
16.2	2.002	0.488	4.104
16.3	1.959	0.480	4.082
16.4	1.920	0.473	4.061
16.5	1.885	0.467	4.040
16.6	1.853	0.461	4.021
16.7	1.826	0.456	4.004
16.8	1.801	0.452	3.988
16.9	1.778	0.448	3.973
17.0	1.759	0.444	3.960
17.1	1.743	0.442	3.948
17.2	1.730	0.439	3.939
17.3	1.721	0.438	3.931
17.4	1.714	0.437	3.925
17.5	1.710	0.436	3.920
17.6	1.710	0.437	3.917
17.7	1.713	0.437	3.916
17.8	1.716	0.438	3.915
17.9	1.718	0.439	3.913
18.0	1.721	0.440	3.911
18.1	1.723	0.441	3.909
18.2	1.725	0.442	3.906
18.3	1.727	0.443	3.902
18.4	1.729	0.443	3.898
18.5	1.730	0.444	3.894
18.6	1.732	0.445	3.890
18.7	1.734	0.446	3.886
18.8	1.736	0.447	3.881
18.9	1.737	0.448	3.876
19.0	1.739	0.449	3.871
19.1	1.740	0.450	3.866
19.2	1.741	0.451	3.861
19.3	1.741	0.452	3.855
19.4	1.742	0.452	3.850
19.5	1.742	0.453	3.844
19.6	1.742	0.454	3.838
19.7	1.742	0.454	3.832
19.8	1.741	0.455	3.826
19.9	1.740	0.456	3.820
20.0	1.740	0.456	3.813
20.1	1.739	0.457	3.807
20.2	1.738	0.457	3.801
20.3	1.736	0.458	3.794
20.4	1.735	0.458	3.788
20.5	1.734	0.458	3.781
20.6	1.732	0.459	3.774
20.7	1.730	0.459	3.768
20.8	1.729	0.460	3.761
20.9	1.727	0.460	3.754
21.0	1.725	0.460	3.748
21.1	1.723	0.461	3.741
21.2	1.722	0.461	3.735
21.3	1.720	0.461	3.728
21.4	1.718	0.462	3.722
21.5	1.716	0.462	3.715
21.6	1.715	0.462	3.709
21.7	1.713	0.463	3.703
21.8	1.712	0.463	3.696
21.9	1.710	0.463	3.690
22.0	1.709	0.464	3.685
22.1	1.708	0.464	3.679
22.2	1.708	0.465	3.673
22.3	1.707	0.465	3.668
22.4	1.707	0.466	3.662
22.5	1.707	0.467	3.657
22.6	1.707	0.467	3.652
22.7	1.708	0.468	3.648
22.8	1.709	0.469	3.643
