knots	drag
39.400	0.076
39.500	0.076
39.600	0.076
39.700	0.077
39.800	0.077
39.900	0.077
40.000	0.077
40.100	0.077
40.200	0.077
40.300	0.078
40.400	0.078
40.500	0.078
40.600	0.078
40.700	0.078
40.800	0.078
40.900	0.079
41.000	0.079
41.100	0.079
41.200	0.079
41.300	0.079
41.400	0.079
41.500	0.080
41.600	0.080
41.700	0.080
41.800	0.080
41.900	0.080
42.000	0.080
42.100	0.081
42.200	0.081
42.300	0.081
42.400	0.081
42.500	0.081
42.600	0.081
42.700	0.082
42.800	0.082
42.900	0.082
43.000	0.082
43.100	0.082
43.200	0.083
43.300	0.083
43.400	0.083
43.500	0.083
43.600	0.083
43.700	0.083
43.800	0.084
43.900	0.084
44.000	0.084
44.100	0.084
44.200	0.084
44.300	0.085
44.400	0.085
44.500	0.085
44.600	0.085
44.700	0.085
44.800	0.085
44.900	0.086
45.000	0.086
45.100	0.086
45.200	0.086
45.300	0.086
45.400	0.087
45.500	0.087
45.600	0.087
45.700	0.087
45.800	0.087
45.900	0.087
46.000	0.088
46.100	0.088
46.200	0.088
46.300	0.088
46.400	0.088
46.500	0.089
46.600	0.089
46.700	0.089
46.800	0.089
46.900	0.089
47.000	0.090
47.100	0.090
47.200	0.090
47.300	0.090
47.400	0.090
47.500	0.091
47.600	0.091
47.700	0.091
47.800	0.091
47.900	0.091
48.000	0.092
48.100	0.092
48.200	0.092
48.300	0.092
48.400	0.092
48.500	0.093
48.600	0.093
48.700	0.093
48.800	0.093
48.900	0.093
49.000	0.094
49.100	0.094
49.200	0.094
49.300	0.094
49.400	0.094
49.500	0.095
49.600	0.095
49.700	0.095
49.800	0.095
49.900	0.095
50.000	0.096
50.100	0.096
50.200	0.096
50.300	0.096
50.400	0.096
50.500	0.097
50.600	0.097
50.700	0.097
50.800	0.097
50.900	0.097
51.000	0.098
51.100	0.098
51.200	0.098
51.300	0.098
51.400	0.099
51.500	0.099
51.600	0.099
51.700	0.099
51.800	0.099
51.900	0.100
52.000	0.100
52.100	0.100
52.200	0.100
52.300	0.100
52.400	0.101
52.500	0.101
52.600	0.101
52.700	0.101
52.800	0.102
52.900	0.102
