aoa	knots	lift
17.7 	 76.999 	 102.203
17.8 	 76.899 	 101.795
17.9 	 76.799 	 101.176
18.0 	 76.699 	 100.349
18.1 	 76.699 	 101.886
18.2 	 76.599 	 100.659
18.3 	 76.599 	 101.808
18.4 	 76.499 	 100.185
18.5 	 76.499 	 100.798
18.6 	 76.499 	 101.050
18.7 	 76.499 	 100.951
18.8 	 76.499 	 100.511
18.9 	 76.599 	 102.310
19.0 	 76.599 	 101.212
19.1 	 76.699 	 102.369
19.2 	 76.699 	 100.651
19.3 	 76.799 	 101.200
19.4 	 76.899 	 101.458
19.5 	 76.999 	 101.431
19.6 	 77.099 	 101.129
19.7 	 77.199 	 100.560
19.8 	 77.399 	 102.279
19.9 	 77.499 	 101.198
20.0 	 77.699 	 102.412
20.1 	 77.799 	 100.855
20.2 	 77.999 	 101.600
20.3 	 78.199 	 102.122
20.4 	 78.399 	 102.429
20.5 	 78.499 	 100.024
20.6 	 78.799 	 102.437
20.7 	 78.999 	 102.158
20.8 	 79.199 	 101.704
20.9 	 79.399 	 101.086
21.0 	 79.599 	 100.316
21.1 	 79.899 	 101.869
21.2 	 80.099 	 100.820
21.3 	 80.399 	 102.105
21.4 	 80.599 	 100.827
21.5 	 80.899 	 101.893
21.6 	 81.099 	 100.439
21.7 	 81.399 	 101.342
21.8 	 81.699 	 102.180
21.9 	 81.899 	 100.566
22.0 	 82.199 	 101.331
22.1 	 82.499 	 102.080
22.2 	 82.699 	 100.449
22.3 	 82.999 	 101.223
22.4 	 83.299 	 102.034
22.5 	 83.499 	 100.544
22.6 	 83.799 	 101.493
22.7 	 83.999 	 100.194
22.8 	 84.299 	 101.361
22.9 	 84.499 	 100.336
23.0 	 84.799 	 101.806
23.1 	 84.999 	 101.142
23.2 	 85.199 	 100.695
23.3 	 85.399 	 100.488
23.4 	 85.599 	 100.546
23.5 	 85.799 	 100.892
23.6 	 85.999 	 101.550
23.7 	 86.099 	 100.259
23.8 	 86.299 	 101.622
23.9 	 86.399 	 101.093
24.0 	 86.499 	 100.985
24.1 	 86.599 	 101.320
24.2 	 86.699 	 102.001
24.3 	 86.699 	 100.492
24.4 	 86.799 	 101.333
24.5 	 86.899 	 102.256
24.6 	 86.899 	 100.999
24.7 	 86.999 	 102.101
24.8 	 86.999 	 101.034
24.9 	 86.999 	 100.069
